房屋名称,房屋户型,建筑面积,房屋朝向,装修情况,有无电梯,房屋总价,房屋单价,
新创竹园,5室2厅,150.18,南,精装,无,339,22573
南山檀郡,3室1厅,87.36,南,精装,有,248,28389
美之国花园,4室2厅,110.83,南 北,精装,无,265,23911
典雅花园,5室2厅,219.28,南,简装,独栋,698,31832
徐家浜二村,4室3厅,158.5,南,精装,无,274,17288
白塘壹号,3室2厅,131.21,南 北,精装,有,650,49539
美华园,4室2厅,84.49,南,简装,无,155,18346
中海国际社区（三区）,3室2厅,123.88,南,精装,有,625,50453
嘉和丽园,3室2厅,96.83,南,精装,有,179,18487
万业湖墅金典,4室2厅,123.58,南,精装,有,308,24924
绿地中央广场五期,3室2厅,92.59,南,毛坯,有,219,23653
锦绣江南(相城区),3室2厅,127.06,南,精装,无,240,18889
恒基旭辉城,3室2厅,89.26,南,简装,有,183,20502
万鸿城市华庭,3室2厅,123.89,南,精装,无,132,10655
新城香溢澜桥,3室1厅,93.94,南,精装,有,232,24697
绿地21城D区,2室2厅,86,南 北,毛坯,有,200,23256
中交MINI墅,2室1厅,51.62,南,精装,商电,58,11236
杨枝一村,2室2厅,59.92,南,精装,无,140,23365
华辰嘉园北区,3室2厅,98.01,南 北,精装,有,226,23059
万科魅力花园,4室2厅,116.75,南 西北 北,精装,有,248.9,21320
集善新村,4室2厅,180,南 北,精装,无,200,11112
中南世纪城(昆山),4室2厅,141.36,南,精装,有,335,23699
东湖大郡三期,3室2厅,115.74,南,精装,有,550,47521
湖畔天城,3室2厅,114.6,南 北,精装,有,530,46248
海尚壹品,4室2厅,126.01,南 北,精装,有,740,58726
东方华庭,4室2厅,159.71,南,简装,有,320,20037
花桥裕花园,3室2厅,90.25,南,精装,有,166,18394
中城商务广场,3室2厅,79.85,东北,精装,商电,88,11021
中科花苑,6室2厅,214,南,简装,有,525,24533
保利悦玺,3室1厅,94.03,南,精装,有,285,30310
绣衣东村,3室2厅,94.3,南,精装,无,194,20573
黄城花园东区,3室2厅,147.48,北 南,简装,有,200,13562
九龙仓风华里,4室2厅,141.69,南 北,精装,有,766,54062
启航社河东,3室1厅,88.06,南 北,精装,有,185,21009
新城红树湾,3室1厅,85.22,南,精装,有,183,21474
新城湾语城,4室2厅,145.58,南,毛坯,有,322,22119
天城花园,3室2厅,100.46,南,毛坯,有,168,16724
瑞景苑,3室2厅,110.02,南 北,精装,无,212,19270
常发豪郡南区,3室2厅,88.95,南 北,精装,有,145,16302
合生颐廷,4室2厅,136.71,南,毛坯,有,218,15947
华润橡树湾二期,4室2厅,143.01,南,精装,有,318,22237
繁华里,3室2厅,86.52,西南,精装,有,205,23694
恒基旭辉城,3室1厅,88.48,南,毛坯,有,194,21926
绿地21城C区,5室2厅,169,南 北,简装,无,305,18048
挹秀新村,2室1厅,64.99,南,简装,无,159,24466
苏州唐宁府,4室2厅,164.93,南,精装,有,1390,84279
九龙仓碧堤雅苑,3室1厅,104.48,南,精装,有,274,26226
招商依云华苑,3室2厅,88.42,南,毛坯,有,208,23525
首开常青藤,3室2厅,102.42,南,简装,有,224.9,21959
湖左岸,3室2厅,144.97,东南 北,精装,有,825,56909
仁恒公园世纪,3室2厅,125.32,南,精装,有,634,50591
万科魅力花园,3室2厅,85.78,南,精装,有,199,23199
中海国际社区（一区）,3室2厅,132.2,南,精装,有,588,44479
蓬曦园C6区娄江新村,2室2厅,96.44,南 北,精装,无,157,16280
阳光水韵,2室2厅,90.74,南,精装,无,225,24797
万科四季风景花园,3室1厅,91.68,南,精装,有,188,20507
富华东村,3室1厅,81,南,简装,无,144.5,17840
中海御湖熙岸西区,5室2厅,138.55,南 北,精装,有,858,61928
香滨水岸,3室2厅,128.23,南,精装,有,416,32442
樾碧花园,3室2厅,104.96,南 北,精装,有,225,21437
红鼎湾花园,1室1厅,55.07,南 北,精装,有,118,21428
奥园印象高迪花园南区,2室2厅,81.53,南 北,精装,有,120,14719
鑫苑国际城市花园(昆山市),2室2厅,88.27,南,精装,有,150,16994
中海凤凰熙岸,2室1厅,89.07,南,简装,有,286,32110
嘉业阳光假日一二期,1室1厅,46.87,南,精装,有,86,18349
苏苑新村北区,2室2厅,58.7,南,简装,无,147,25043
航西新村,1室1厅,37.15,南,简装,无,74,19920
万科魅力花园,3室2厅,114.94,南 北,精装,有,273,23752
三元二村,3室1厅,69.2,南,精装,无,153,22110
樾碧花园,3室2厅,90.05,南,精装,有,198,21988
旭辉美澜城,3室2厅,87.92,南,精装,有,213,24227
黄天荡新村,3室2厅,121.61,南,精装,无,286,23518
优山美地,3室2厅,121.77,南,精装,有,360,29564
世茂石湖湾,5室2厅,326.7,南,毛坯,联排,1160,35507
商旅新悦城,2室1厅,66.68,南,精装,有,230,34494
中海双湾锦园,2室2厅,79.23,南,毛坯,有,210,26506
中海双湾花园一期,3室2厅,87.44,南,精装,有,205,23445
苏香名园,3室2厅,114.09,南,精装,有,208,18232
长风新村,2室2厅,50.8,南 北,精装,无,153,30119
保利悦玺,3室2厅,124.24,南 北,精装,有,377,30345
中海双湾花园二期,3室2厅,87.68,南,精装,有,220,25092
锦沧名苑,3室2厅,115.44,南,精装,有,400,34651
蓝光天悦城,4室2厅,119.73,南,精装,有,287.5,24013
金科廊桥水岸,3室2厅,135.41,南,毛坯,有,290,21417
恒基旭辉城,3室2厅,88.83,南,精装,有,185,20827
阳光城愉景湾,4室2厅,132.1,南,精装,有,345.5,26155
樾碧花园,3室2厅,90.04,南,精装,有,190,21102
雅戈尔风尚,3室2厅,145.65,南,精装,有,990,67972
翰林缘,3室2厅,130.11,南 北,精装,有,460,35355
万科魅力花园,3室2厅,85.77,南 北,精装,有,205,23902
东城郡,3室2厅,132.43,南,精装,有,614.5,46402
齐门人家,3室1厅,108.57,南,精装,有,267,24593
世茂运河城瀚河苑,3室2厅,89.37,南,精装,有,310,34688
万科魅力花园,3室1厅,88.99,南,精装,有,194.5,21857
中房颐园,3室2厅,128.37,南,精装,有,299.9,23363
森隆满园,2室2厅,84,南,简装,有,126,15000
水城丽都,3室2厅,136.01,南,精装,有,360,26469
四季晶华,2室2厅,91.8,南,精装,有,336,36602
越湖家天下,2室1厅,87.37,南 北,精装,有,195,22319
花溪畔居南区,5室2厅,196.8,南,简装,无,230,11687
莱茵花园,4室2厅,129.39,南,精装,联排,490,37871
东城郡,3室2厅,130.47,南,精装,有,663,50817
绿地21城C区,3室2厅,174.5,南,毛坯,有,330,18912
华辰嘉园北区,4室2厅,84.78,南 北,精装,无,240,28309
红鼎湾花园,5室2厅,222.15,南,毛坯,无,370,16656
北园新村,4室2厅,152.02,南,精装,无,275,18090
阔家头巷小区,4室2厅,83.33,东南 南,毛坯,无,390,46802
联相园,4室2厅,179,南,精装,无,399,22291
东城世纪广场,3室2厅,123.51,南,精装,有,275,22266
观澜丽宫,4室2厅,259.37,南 北,毛坯,联排,1139,43915
天亚水景城,5室3厅,269.38,南 北,精装,独栋,628,23313
上海星城花园,4室2厅,150.46,南,精装,有,165,10967
盘蠡花园,6室3厅,202.26,南,精装,无,369,18244
莱茵半岛,5室2厅,300.78,南,毛坯,联排,309,10274
香滨水岸,3室2厅,135.56,南,精装,有,388,28623
水云居西区,4室2厅,158.47,南,简装,无,829,52313
越湖家天下,3室2厅,68.66,南 北,精装,无,204,29712
中海双湾花园二期,3室2厅,87.8,南,精装,有,224,25513
保利居上,4室2厅,139.14,南,毛坯,有,355,25514
中海双湾花园二期,3室2厅,129.94,南,精装,有,339,26089
美岸青城幸福里,3室2厅,115.89,南,精装,无,175,15101
可逸兰亭,3室2厅,90.63,南,毛坯,有,175,19310
自由水岸花园,3室1厅,130.65,南,精装,有,596,45619
中南世纪城(昆山),3室2厅,96.48,南,精装,有,198.9,20616
黄金海岸花园,3室2厅,127.61,南 北,精装,有,399,31268
蠡墅花园天韵苑,2室1厅,94.5,南,毛坯,有,172,18202
新城域花园,3室2厅,91.99,南,精装,有,165,17937
花桥国际美车城,2室2厅,80,南,精装,无,73,9125
南山维拉,3室1厅,93.2,南,精装,有,205,21996
国香雅苑,2室1厅,91.42,南,精装,无,189,20674
千灯裕花园,2室1厅,80.16,南 北,毛坯,有,100.8,12575
钟南花苑,2室2厅,88.9,南 北,精装,有,259,29134
朝阳河花苑,3室2厅,120.78,南,毛坯,有,258,21362
